state,value
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
California,100
Colorado,100
Colorado,100
Michigan,100
New York,100
New York,100
New York,100
New York,100
New York,100
New York,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Oregon,100
Virginia,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
Washington,100
California,99
California,99
California,99
California,99
California,99
California,99
California,99
California,99
Oregon,99
Oregon,99
Oregon,99
Oregon,99
Oregon,99
Oregon,99
Oregon,99
Washington,99
Washington,99
Washington,99
Washington,99
Washington,99
Washington,99
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
California,98
Washington,98
Washington,98
Washington,98
Washington,98
Washington,98
Washington,98
California,97
Oregon,97
Oregon,97
Oregon,97
Oregon,97
California,96
California,96
